NumThread 	 DataSize 	 ExeTime 
 1 	 10000000 	 2.007560e+00 
 2 	 10000000 	 1.173034e+00 
 4 	 10000000 	 6.264978e-01 
 8 	 10000000 	 3.509952e-01 
 12 	 10000000 	 2.663782e-01 
 16 	 10000000 	 3.600247e-01 
 24 	 10000000 	 4.777553e-01 
 32 	 10000000 	 5.387209e-01 
 48 	 10000000 	 5.981289e-01 
 
 serial time : 1.052312e+00 
