NumThread 	 DataSize 	 ExeTime 
 1 	 10000000 	 1.926873e+00 
 2 	 10000000 	 1.867862e+00 
 4 	 10000000 	 1.997187e+00 
 8 	 10000000 	 2.028105e+00 
 12 	 10000000 	 2.038807e+00 
 16 	 10000000 	 2.089457e+00 
 24 	 10000000 	 2.451361e+00 
 32 	 10000000 	 2.799358e+00 
 48 	 10000000 	 2.679108e+00 
 
