NumThread 	 DataSize 	 ExeTime 
 1 	 10000000 	 1.879759e+00 
 2 	 10000000 	 1.081820e+00 
 4 	 10000000 	 7.265334e-01 
 8 	 10000000 	 4.726090e-01 
 12 	 10000000 	 3.806786e-01 
 16 	 10000000 	 3.463049e-01 
 24 	 10000000 	 3.266733e-01 
 32 	 10000000 	 4.000438e-01 
 48 	 10000000 	 4.066445e-01 
 
